"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2009","Extra-Regio NUTS 2","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Germany (until 1990 former territory of the FRG)","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","6,908.40",""
"2009","Germany (until 1990 former territory of the FRG)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","83.00",""
"2009","Germany (until 1990 former territory of the FRG)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Federal Republic of Germany (former territory of the FRG only)","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Federal Republic of Germany (former territory of the FRG only)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Federal Republic of Germany (former territory of the FRG only)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Baden-Württemberg","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","555.00",""
"2009","Baden-Württemberg","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","3.90",""
"2009","Baden-Württemberg","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Stuttgart","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Stuttgart","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Stuttgart","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Karlsruhe","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Karlsruhe","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Karlsruhe","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Freiburg","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Freiburg","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Freiburg","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Tübingen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Tübingen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Tübingen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Bayern","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","1,227.90",""
"2009","Bayern","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","14.00",""
"2009","Bayern","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberbayern","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberbayern","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberbayern","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Niederbayern","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Niederbayern","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Niederbayern","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberpfalz","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberpfalz","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberpfalz","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberfranken","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberfranken","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Oberfranken","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Mittelfranken","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Mittelfranken","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Mittelfranken","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Unterfranken","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Unterfranken","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Unterfranken","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Schwaben","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Schwaben","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Schwaben","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Berlin","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","0.70",""
"2009","Berlin","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.00",""
"2009","Berlin","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Berlin","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Berlin","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Berlin","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Brandenburg","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","543.80",""
"2009","Brandenburg","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","16.90",""
"2009","Brandenburg","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Brandenburg","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Brandenburg","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Brandenburg","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Bremen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","0.80",""
"2009","Bremen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Bremen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Bremen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Bremen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Bremen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Hamburg","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","2.70",""
"2009","Hamburg","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.00",""
"2009","Hamburg","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Hamburg","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Hamburg","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
